RecipeID,RecipeName,Ingredients,PreparationTime,CookingTime,Instructions
1,Spaghetti Bolognese,"Spaghetti:100g; Ground Beef:500g; Tomato Sauce:1 can; Onion:1; Garlic:2 cloves; Olive Oil:2 tbsp; Salt:1 tsp; Pepper:1 tsp",15,60,"Boil spaghetti. Sauté onion and garlic in olive oil. Add ground beef and cook until browned. Add tomato sauce and simmer. Season with salt and pepper. Serve over cooked spaghetti."
2,Chicken Curry,"Chicken:500g; Curry Powder:2 tbsp; Coconut Milk:1 can; Onion:1; Garlic:2 cloves; Olive Oil:2 tbsp; Salt:1 tsp; Pepper:1 tsp",20,40,"Sauté onion and garlic in olive oil. Add chicken and cook until browned. Add curry powder and stir. Add coconut milk and simmer. Season with salt and pepper. Serve with rice."
3,Vegetable Stir Fry,"Broccoli:1 bunch; Carrots:2; Bell Peppers:2; Soy Sauce:2 tbsp; Garlic:2 cloves; Olive Oil:2 tbsp",10,15,"Sauté garlic in olive oil. Add vegetables and stir fry until tender. Add soy sauce and stir. Serve with rice."
4,Grilled Salmon,"Salmon Fillets:4; Lemon:1; Dijon Mustard:2 tbsp; Honey:1 tbsp; Olive Oil:2 tbsp; Salt:1 tsp; Pepper:1 tsp",10,15,"Preheat grill. In a bowl. mix Dijon mustard. honey. olive oil. salt. and pepper. Brush the mixture over salmon fillets. Grill the salmon for about 6-8 minutes per side or until cooked through. Squeeze fresh lemon juice over the grilled salmon before serving."
5,Margherita Pizza,"Pizza Dough:1 ball; Tomato Sauce:1/2 cup; Fresh Mozzarella:200g; Fresh Basil:1 cup; Olive Oil:2 tbsp; Salt:1/2 tsp; Pepper:1/2 tsp",15,20,"Preheat oven to 475°F (245°C). Roll out pizza dough and spread tomato sauce evenly. Tear fresh mozzarella and scatter over the sauce. Bake in the oven until crust is golden and cheese is melted. Remove from oven. Top with fresh basil. Drizzle with olive oil. Season with salt and pepper."
6,Chicken Caesar Salad,"Chicken Breast:2; Romaine Lettuce:1 head; Croutons:1 cup; Parmesan Cheese:1/2 cup; Caesar Dressing:1/4 cup",15,25,"Season chicken breasts with salt and pepper. Grill or cook in a pan until fully cooked. Slice the cooked chicken. In a large bowl. toss together chopped romaine lettuce. croutons. Parmesan cheese. and sliced chicken. Drizzle with Caesar dressing before serving."
7,Vegetarian Chili,"Black Beans:1 can; Kidney Beans:1 can; Corn:1 cup; Diced Tomatoes:1 can; Onion:1; Bell Pepper:1; Garlic:2 cloves; Chili Powder:2 tbsp; Cumin:1 tbsp; Olive Oil:2 tbsp",15,30,"Sauté onion and garlic in olive oil until softened. Add chopped bell pepper and cook until slightly tender. Add black beans. kidney beans. corn. diced tomatoes. chili powder. and cumin. Simmer for 20-25 minutes. Season with salt and pepper to taste."
8,Spinach and Feta Stuffed Chicken,"Chicken Breasts:4; Spinach:2 cups; Feta Cheese:1/2 cup; Garlic:2 cloves; Olive Oil:2 tbsp; Salt:1 tsp; Pepper:1 tsp",20,30,"Preheat oven to 375°F (190°C). Sauté garlic in olive oil until fragrant. Add spinach and cook until wilted. Butterfly chicken breasts and stuff with sautéed spinach and crumbled feta. Season with salt and pepper. Bake in the oven until chicken is cooked through."
9,Shrimp Scampi,"Shrimp:500g; Linguine:200g; Garlic:3 cloves; White Wine:1/2 cup; Lemon:1; Olive Oil:2 tbsp; Salt:1/2 tsp; Red Pepper Flakes:1/4 tsp; Parsley:1/4 cup",15,20,"Cook linguine according to package instructions. In a pan. sauté minced garlic in olive oil. Add shrimp and cook until pink. Pour in white wine. Add lemon juice. salt. and red pepper flakes. Toss in cooked linguine. Add chopped parsley before serving."
10,Beef Tacos,"Ground Beef:500g; Taco Seasoning:2 tbsp; Tortillas:8; Lettuce:1 head; Tomato:1; Cheese:1 cup; Sour Cream:1/2 cup",15,20,"Brown ground beef in a pan. Drain excess fat. Add taco seasoning with water as per the packet instructions. Warm tortillas. Assemble tacos with seasoned beef. shredded lettuce. diced tomatoes. shredded cheese. and a dollop of sour cream."
11,Chicken Alfredo Pasta,"Chicken Breast:2; Fettuccine Pasta:200g; Heavy Cream:1 cup; Parmesan Cheese:1 cup; Garlic:3 cloves; Butter:2 tbsp; Salt:1/2 tsp; Pepper:1/2 tsp",20,25,"Cook fettuccine pasta according to package instructions. Season chicken with salt and pepper. Cook until no longer pink. In a saucepan. melt butter and sauté minced garlic. Add heavy cream and Parmesan cheese. Stir until the cheese is melted. Toss cooked pasta and sliced chicken in the Alfredo sauce before serving."
